Date,Price,Open,High,Low,Vol.,Change %
11-Nov-19,89.56,89.06,93.6,89.06,-,0.56%
8-Nov-19,89.06,90.28,91.1,88.22,-,-1.21%
7-Nov-19,90.15,89.78,90.76,88.82,-,0.63%
6-Nov-19,89.59,90.83,91.79,89.59,-,-1.53%
5-Nov-19,90.98,88.74,91.08,88.7,-,2.51%
4-Nov-19,88.75,85.76,88.75,85.76,-,3.57%
1-Nov-19,85.69,88.86,88.86,84.84,-,-3.63%
31-Oct-19,88.92,86.47,90.32,86.47,-,2.83%
30-Oct-19,86.47,87.66,89.34,86.39,-,-1.46%
29-Oct-19,87.75,86.59,88.16,86.17,-,1.47%
28-Oct-19,86.48,83.89,86.91,83.89,-,3.17%
25-Oct-19,83.82,86.71,86.97,83.38,-,-3.15%
24-Oct-19,86.55,87.17,88.36,85.24,-,-1.19%
23-Oct-19,87.59,89.23,89.75,87.29,-,-1.94%
22-Oct-19,89.32,87.27,89.75,85.74,-,2.33%
21-Oct-19,87.29,91.21,91.35,87.27,-,-4.29%
18-Oct-19,91.2,90.24,92.2,89.7,-,1.03%
17-Oct-19,90.27,93.16,93.3,89.51,-,-3.10%
16-Oct-19,93.16,94.51,95.94,92.99,-,-0.87%
15-Oct-19,93.98,94.43,94.53,92.05,-,-0.48%
14-Oct-19,94.43,97.82,98.63,94.25,-,-3.35%
11-Oct-19,97.7,99.82,99.82,94.32,-,-1.97%
10-Oct-19,99.66,101.34,102.48,99.03,-,-1.57%
9-Oct-19,101.25,102.27,106.73,99.49,-,-1.00%
8-Oct-19,102.27,97.29,102.35,97.29,-,5.39%
7-Oct-19,97.04,95.15,98.42,95.15,-,1.94%
4-Oct-19,95.19,97.86,97.86,93.85,-,-3.07%
3-Oct-19,98.2,103.69,104.82,97.79,-,-5.40%
2-Oct-19,103.81,104.53,105.45,101.12,-,1.04%
1-Oct-19,102.74,97.75,102.74,95.57,-,5.24%
30-Sep-19,97.62,103.45,103.45,97.62,-,-5.41%
27-Sep-19,103.2,100.04,106.01,97.58,-,2.88%
26-Sep-19,100.31,100.37,102.25,98.7,-,0.63%
25-Sep-19,99.68,104.78,107.17,99.33,-,-5.03%
24-Sep-19,104.96,96.31,108.38,95.9,-,7.54%
23-Sep-19,97.6,101.04,101.04,97.56,-,-3.40%
20-Sep-19,101.03,96.62,102.3,95.43,-,3.83%
19-Sep-19,97.3,99.15,99.15,96.19,-,-1.81%
18-Sep-19,99.09,102.22,105.68,98.76,-,-2.54%
17-Sep-19,101.67,101.86,102.65,100.51,-,-0.06%
16-Sep-19,101.73,99.51,102.22,98.94,-,2.83%
13-Sep-19,98.93,94.86,100.53,93.91,-,3.12%
12-Sep-19,95.94,96.48,97.51,93.83,-,-1.89%
11-Sep-19,97.79,98.98,98.98,95.61,-,3.90%
10-Sep-19,94.12,95.65,97,93.64,-,-0.40%
9-Sep-19,94.5,94.48,96.41,92.14,-,0.11%
6-Sep-19,94.4,94.9,98.05,94.26,-,-1.16%
5-Sep-19,95.51,97.35,97.35,94.11,-,-1.84%
4-Sep-19,97.3,99.51,99.8,96.68,-,-4.79%
3-Sep-19,102.19,102.48,106.14,102.03,-,-0.46%
30-Aug-19,102.66,99.8,102.95,98.28,-,2.87%
29-Aug-19,99.8,101.41,102.84,99.31,-,-3.99%
28-Aug-19,103.95,107.28,108.45,103.36,-,-2.39%
27-Aug-19,106.49,106.71,107.95,103.14,-,0.21%
26-Aug-19,106.27,109.97,112.37,105.97,-,-4.58%
23-Aug-19,111.37,104.03,115.27,99.1,-,10.33%
22-Aug-19,100.94,97.83,102.6,97.7,-,2.97%
21-Aug-19,98.03,100.77,101.06,97.62,-,-6.43%
20-Aug-19,104.77,102.3,105.1,100.04,-,3.51%
19-Aug-19,101.22,106.33,106.41,100.26,-,-8.25%
16-Aug-19,110.32,112.26,112.42,107.63,-,-1.73%
15-Aug-19,112.26,112.75,117.35,111.48,-,-1.52%
14-Aug-19,113.99,102.36,116.36,102.36,-,11.53%
13-Aug-19,102.21,109.47,109.47,99.86,-,-7.34%
12-Aug-19,110.31,103.52,110.36,103.07,-,8.66%
9-Aug-19,101.52,98.66,104.78,98.36,-,2.90%
8-Aug-19,98.66,102.01,102.31,98.11,-,-5.38%
7-Aug-19,104.27,110.86,113.35,103.32,-,-2.96%
6-Aug-19,107.45,106.34,111.03,104.9,-,-6.08%
5-Aug-19,114.4,110.37,114.96,109.23,-,11.40%
2-Aug-19,102.69,103.73,111.96,102.55,-,-2.64%
1-Aug-19,105.47,95.49,111.33,90.47,-,9.55%
31-Jul-19,96.28,91.85,98.68,86.96,-,5.13%
30-Jul-19,91.58,90.7,91.85,87.71,-,3.88%
29-Jul-19,88.16,85.3,88.17,84.39,-,6.08%
26-Jul-19,83.11,82.75,83.74,79.71,-,-1.41%
